CM1,CM2,CM3,DTA1,DTA2,DTA3,DTA4,KP1,KP2,KP3,KP4,KP5,KPT1,KPT2,NB
2,3,3,3,3,3,3,3,3,3,3,3,2,2,10
4,4,4,3,3,4,4,4,3,4,3,4,4,4,15
4,4,4,4,4,4,4,4,4,4,4,4,1,1,10
4,4,3,3,4,4,3,4,4,4,4,3,2,1,10
4,4,4,3,3,3,4,4,3,3,3,4,2,1,10
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
4,4,4,3,4,4,4,4,3,3,3,3,2,2,10
2,2,3,3,3,2,3,3,3,3,3,3,3,3,12
2,3,2,3,3,2,2,3,2,3,3,2,3,2,10
4,3,3,3,3,3,4,3,4,3,3,3,3,2,11
4,4,4,4,4,4,4,4,4,4,4,4,1,1,10
4,4,4,4,4,4,4,4,4,4,4,4,1,1,10
3,3,3,4,3,4,3,4,4,4,4,4,4,3,15
2,2,3,3,3,3,3,3,3,3,3,3,3,2,11
4,4,3,3,2,3,3,3,3,3,3,3,2,2,10
4,4,4,4,4,3,4,4,3,3,3,3,1,1,8
2,2,3,3,3,3,3,3,3,3,3,3,3,3,12
2,2,2,2,2,2,3,2,2,3,3,3,2,2,10
3,2,3,3,3,4,3,4,3,3,3,3,2,3,11
4,4,3,4,2,3,3,3,4,4,4,3,1,2,10
4,4,4,4,4,4,4,4,4,4,4,4,1,1,10
4,4,4,3,4,4,4,4,4,4,4,4,2,2,12
3,3,4,4,4,4,4,3,3,4,3,4,3,4,14
3,3,3,3,2,3,3,3,3,3,3,2,2,2,9
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
3,4,4,3,3,4,4,4,4,3,4,4,1,1,10
3,4,3,3,2,3,2,4,4,4,4,4,3,3,14
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
4,4,4,3,3,3,3,4,3,3,3,3,4,4,14
4,4,4,4,4,4,4,3,4,4,4,4,3,3,14
2,2,3,3,2,3,2,3,3,3,3,3,3,3,12
2,3,3,4,4,3,3,3,3,3,3,3,3,3,12
3,3,3,3,3,4,3,3,3,3,3,4,3,2,12
3,3,3,3,3,3,3,3,3,2,2,2,4,2,10
4,4,4,4,4,4,3,4,4,4,4,4,3,3,14
3,4,4,4,4,4,4,4,4,3,3,3,2,2,10
3,3,3,3,3,3,3,3,3,3,3,3,3,3,12
4,4,4,4,4,4,4,4,4,4,4,4,2,2,12
2,2,3,4,4,4,4,4,4,4,4,4,2,2,12
4,4,4,4,3,3,4,3,3,3,3,3,4,3,13
4,3,3,3,3,3,3,4,4,4,4,4,2,2,12
2,2,4,4,4,4,4,4,4,4,4,4,4,2,14
3,3,3,4,3,3,3,3,3,3,3,3,3,2,11
4,4,4,4,4,4,4,4,4,3,4,4,4,4,16
2,2,2,4,3,3,3,4,3,3,3,3,4,1,11
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
4,4,3,4,3,4,3,4,2,3,3,3,3,2,11
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16
4,3,2,4,4,4,3,4,4,4,4,4,4,2,14
2,2,3,3,3,3,3,3,3,3,3,3,3,2,11
2,2,2,3,3,3,2,3,3,4,2,3,4,4,13
4,3,3,4,2,4,3,4,3,3,3,3,2,2,10
3,3,3,3,3,3,2,3,3,3,3,3,2,2,10
2,2,3,3,4,3,3,4,4,3,4,3,4,4,15
3,3,3,3,3,3,3,4,3,3,3,3,3,3,12
2,2,4,4,4,4,4,4,4,4,4,4,2,2,12
2,3,2,4,3,4,4,4,3,3,3,3,3,2,11
2,2,2,3,3,3,3,4,4,4,4,4,3,2,13
3,3,3,3,3,3,3,3,3,3,4,3,3,3,13
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
4,4,4,4,4,4,4,4,4,4,4,4,4,3,15
4,4,4,2,2,3,3,3,3,3,3,3,2,1,9
2,2,2,3,3,3,2,3,3,3,3,3,3,2,11
3,3,3,3,3,3,2,4,3,3,3,3,3,3,12
2,3,3,4,3,3,3,3,3,3,3,3,4,3,13
3,3,2,4,3,3,3,3,3,3,3,3,4,3,13
4,3,4,4,4,4,4,3,4,4,4,3,3,2,12
2,2,3,4,4,4,4,4,4,4,3,3,2,2,10
4,4,3,3,3,3,4,3,4,4,3,3,3,2,11
4,4,4,4,4,4,4,4,4,4,4,4,2,2,12
3,3,3,3,3,3,3,3,3,3,3,3,3,2,11
3,2,2,4,4,4,4,4,4,4,4,4,3,1,12
3,2,3,3,3,3,3,3,3,3,4,3,2,3,12
3,4,4,4,4,4,4,4,4,4,4,4,1,1,10
1,1,3,3,2,3,2,3,3,2,3,3,1,2,9
2,2,3,3,3,3,3,3,3,3,3,3,2,1,9
1,1,2,2,3,3,2,3,3,3,3,3,3,3,12
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
2,3,2,4,3,4,4,4,3,3,4,4,3,3,14
4,4,4,4,4,4,3,4,4,4,4,4,2,3,13
4,4,4,4,4,4,3,4,4,3,4,4,3,3,14
2,3,2,3,3,3,3,4,4,3,3,3,3,3,12
3,3,3,4,4,4,3,3,3,3,3,3,2,2,10
2,3,2,3,3,2,2,3,2,3,3,2,3,2,10
2,3,3,3,3,3,3,4,4,4,4,4,2,1,11
2,1,3,4,3,4,4,4,4,3,3,2,3,2,10
4,4,4,4,3,4,3,4,4,4,4,3,1,1,9
4,4,4,4,3,4,4,4,4,4,4,4,2,2,12
2,2,2,4,4,4,4,4,4,4,4,4,2,2,12
3,3,4,4,4,4,4,3,3,3,3,3,2,2,10
3,3,3,3,3,3,4,3,3,3,3,3,3,3,12
4,4,4,4,4,4,4,3,3,3,3,3,1,1,8
2,2,3,3,3,3,4,3,3,3,3,3,3,3,12
4,4,4,3,4,4,4,4,4,4,4,4,2,2,12
4,2,3,4,2,3,4,4,4,4,4,4,1,4,13
3,3,3,3,4,4,4,3,3,3,3,3,3,2,11
3,3,3,3,4,4,4,4,4,4,4,4,1,1,10
2,2,2,1,1,4,3,4,4,4,4,4,4,3,15
3,3,3,3,3,4,4,4,4,3,4,3,2,2,11
4,4,3,3,3,3,3,4,4,4,4,3,2,2,11
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
3,3,3,3,2,3,2,3,3,3,3,3,3,3,12
4,4,4,3,4,4,4,4,3,3,3,3,2,2,10
3,3,3,3,3,3,3,3,3,3,3,3,3,2,11
2,3,4,4,4,4,4,4,4,4,4,4,3,2,13
3,3,3,3,3,3,3,3,4,3,3,3,2,2,10
4,4,4,4,4,4,3,4,4,4,4,4,3,3,14
3,3,3,3,3,3,3,3,3,3,3,3,3,2,11
3,3,3,2,3,3,3,3,3,3,3,3,2,2,10
2,1,2,4,4,4,4,4,4,4,4,4,4,3,15
3,3,3,3,2,2,2,4,3,2,3,1,3,4,11
2,2,3,3,3,3,3,3,3,2,3,3,3,3,12
4,4,4,4,4,4,4,4,4,4,4,4,1,1,10
3,3,3,3,3,3,3,3,3,4,3,3,3,2,11
4,3,4,4,4,4,4,4,4,4,3,3,4,4,14
4,3,4,4,4,4,4,4,3,2,2,2,1,1,6
2,2,3,3,2,3,3,3,3,3,3,3,2,3,11
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
2,2,3,4,3,4,3,3,4,4,4,3,3,3,13
4,4,4,4,3,4,3,4,4,4,4,4,4,4,16
3,3,3,3,2,3,3,3,3,3,3,3,2,2,10
4,4,4,4,4,4,4,4,4,4,3,3,4,3,13
4,4,4,3,4,3,4,4,4,4,4,4,4,3,15
2,2,3,3,3,3,3,3,3,3,3,3,3,3,12
3,3,3,3,3,3,2,4,4,4,4,3,2,1,10
2,3,3,3,4,4,4,4,3,3,4,3,2,1,10
4,4,3,4,4,4,4,4,4,4,4,4,3,3,14
4,4,3,3,2,3,3,3,3,3,3,3,4,3,13
4,4,4,3,3,4,4,4,4,4,4,4,1,1,10
3,3,3,4,3,3,3,4,4,3,3,3,3,3,12
2,4,3,2,2,3,2,3,3,3,3,3,3,2,11
2,2,2,4,3,3,3,4,3,3,3,3,2,1,9
4,3,4,3,4,4,4,3,3,3,3,3,2,2,10
3,3,3,3,3,3,3,3,3,3,3,3,3,2,11
4,4,4,4,4,4,4,4,4,4,4,4,4,3,15
4,3,4,4,4,4,4,4,4,4,4,3,1,2,10
3,3,2,3,4,2,3,3,3,3,2,3,3,3,11
4,4,4,4,4,4,4,4,4,4,4,4,2,2,12
2,2,3,3,4,4,3,3,2,3,3,2,2,2,9
4,4,4,4,3,4,3,4,4,3,3,3,3,3,12
2,2,2,3,3,3,3,3,3,3,3,3,3,3,12
4,2,2,3,3,3,3,3,3,3,3,3,3,3,12
3,3,3,3,3,3,3,3,3,3,4,3,4,2,13
3,3,4,3,3,3,3,4,4,3,3,3,2,1,9
3,3,2,3,3,4,3,3,3,3,4,3,2,2,11
3,3,3,3,2,3,3,3,3,3,3,3,2,2,10
3,3,3,4,4,4,4,4,4,4,4,4,2,1,11
3,3,3,4,3,4,4,4,4,3,3,3,1,1,8
4,4,4,4,4,4,4,4,4,4,4,4,2,2,12
4,4,4,4,4,4,4,4,4,3,4,4,1,1,10
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
3,3,3,3,2,3,3,3,3,3,3,3,3,3,12
3,3,3,3,3,3,3,3,4,3,3,3,2,2,10
2,2,3,3,3,4,4,4,4,3,4,3,2,2,11
2,2,3,3,1,3,3,4,3,4,4,3,3,4,14
2,2,1,2,2,2,2,2,2,2,2,2,2,2,8
4,4,4,4,3,3,3,4,3,3,3,3,2,2,10
4,4,4,4,4,4,4,4,4,4,4,4,2,2,12
4,4,4,4,4,4,4,4,4,4,4,3,1,1,9
4,4,4,4,4,4,4,4,4,4,4,4,2,1,11
3,3,3,3,3,3,2,2,2,3,4,3,1,1,9
3,3,4,4,3,4,2,1,4,4,4,2,3,3,12
3,3,3,3,2,3,3,3,3,3,3,3,1,3,10
2,3,3,3,3,3,3,3,3,3,3,3,3,2,11
4,3,3,3,4,4,4,3,4,3,4,4,2,2,12
4,4,4,4,4,4,4,4,4,4,4,4,2,2,12
3,3,3,3,3,3,3,3,3,3,3,3,3,2,11
4,4,4,4,4,4,4,4,4,4,4,3,2,3,12
3,3,4,4,4,4,4,4,4,4,4,4,3,4,15
4,2,4,4,4,4,4,4,4,4,4,4,1,1,10
2,2,2,4,3,3,3,3,3,3,3,3,3,3,12
4,4,4,4,4,4,4,4,4,4,4,4,1,1,10
4,4,4,3,2,3,4,4,4,4,4,2,3,3,12
4,4,4,4,4,4,4,4,4,4,4,4,2,1,11
1,1,1,4,2,4,2,2,3,2,2,1,4,4,11
3,3,3,2,3,4,3,4,4,4,4,4,3,2,13
4,4,4,4,4,4,4,3,3,4,4,4,3,4,15
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16
3,2,3,2,2,3,2,3,3,2,3,3,2,2,10
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
3,3,3,3,3,3,3,4,3,3,3,3,1,1,8
4,4,4,4,4,4,4,4,4,3,4,3,2,2,11
2,2,2,4,4,4,4,4,4,4,4,4,2,2,12
3,4,3,4,4,4,4,4,4,4,4,4,3,2,13
2,2,3,3,2,3,2,3,3,3,3,3,3,2,11
3,3,2,2,2,2,2,3,3,3,3,3,3,3,12
2,2,3,4,4,4,4,4,4,4,4,4,3,3,14
4,4,2,4,3,4,3,4,4,4,4,4,1,1,10
2,3,4,4,4,4,4,4,4,4,4,4,3,3,14
4,4,3,3,3,3,3,3,3,3,3,3,2,2,10
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
4,3,3,3,4,3,3,2,3,3,3,2,4,1,10
3,3,3,4,4,4,4,4,4,4,4,4,2,2,12
3,3,3,4,4,3,4,3,4,3,4,4,2,2,12
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
4,4,4,3,2,2,1,3,3,3,3,3,1,3,10
4,4,3,3,3,4,4,4,4,4,4,4,2,1,11
4,4,4,4,4,4,4,4,4,3,3,3,1,1,8
1,2,3,4,4,4,3,3,3,3,3,3,2,1,9
3,4,4,4,4,4,3,4,4,4,3,3,3,2,11
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16
4,4,3,4,3,4,3,3,3,3,3,3,3,3,12
4,4,4,4,3,4,3,4,4,4,4,4,4,4,16
3,3,3,3,2,3,2,3,3,3,3,3,3,3,12
3,3,3,3,3,3,3,4,3,3,3,3,3,3,12
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
1,2,3,4,4,4,4,4,3,3,3,4,4,4,15
4,4,4,4,3,3,3,3,3,4,3,3,3,2,11
3,3,3,4,3,4,3,4,4,4,4,4,2,2,12
4,4,4,3,4,4,3,4,4,4,4,4,3,4,15
4,4,3,3,4,3,2,4,3,3,3,3,2,2,10
3,3,3,3,3,3,4,4,3,3,4,4,3,2,13
1,2,2,3,4,4,4,4,3,4,4,4,4,4,16
4,4,3,3,3,3,3,4,4,4,4,4,2,2,12
2,3,3,3,3,3,2,4,3,3,3,3,2,2,10
3,3,3,3,2,3,2,3,3,3,3,3,3,3,12
1,1,1,3,1,2,1,3,3,4,4,3,4,4,15
3,3,3,4,4,4,4,4,3,3,4,3,2,2,11
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
2,4,4,4,4,4,2,4,4,4,4,4,2,2,12
4,4,4,4,4,4,4,3,3,3,4,3,4,4,15
2,3,3,3,3,3,3,3,3,3,3,3,2,2,10
4,4,4,4,4,4,4,4,4,3,4,3,4,2,13
4,4,4,4,4,4,4,4,4,4,4,4,3,2,13
3,3,3,4,3,3,3,3,3,3,3,3,2,2,10
3,3,3,4,4,4,4,3,3,3,4,2,3,3,12
3,3,4,4,4,4,4,4,4,4,3,3,3,3,12
3,4,4,4,4,4,4,4,4,3,3,3,4,3,13
2,3,3,4,3,3,3,3,3,3,3,3,2,2,10
2,2,1,4,3,4,4,4,4,3,4,3,2,1,10
3,2,2,3,3,3,3,4,4,4,4,4,2,2,12
2,2,2,3,2,3,1,3,3,3,3,3,1,1,8
3,3,3,3,4,3,4,3,3,3,3,3,2,2,10
2,2,2,4,3,3,3,3,3,3,4,2,2,2,10
3,3,3,4,4,4,4,4,4,3,4,3,3,3,13
3,3,2,3,3,4,3,4,4,3,4,3,1,2,10
4,4,4,4,3,4,4,4,4,4,4,4,2,2,12
4,4,4,2,4,4,4,4,4,4,4,4,1,1,10
3,3,3,3,3,3,3,3,3,3,3,3,1,1,8
3,3,3,3,2,3,3,3,3,3,3,3,3,3,12
4,4,4,4,4,4,3,4,4,4,4,4,1,1,10
2,2,2,4,3,4,2,4,4,4,4,3,2,2,11
3,2,3,3,3,3,3,4,3,3,3,3,3,2,11
2,2,4,4,3,3,4,4,3,3,3,3,4,4,14
3,3,3,4,4,4,3,4,4,4,4,4,4,4,16
3,3,3,3,2,3,3,3,3,3,3,3,3,3,12
4,4,4,4,4,4,3,4,4,4,4,4,3,3,14
2,2,3,4,3,4,3,3,3,2,3,2,1,1,7
3,2,3,2,3,3,3,3,3,3,3,3,1,2,9
3,3,3,3,3,3,2,3,4,3,4,3,1,1,9
4,3,3,3,3,3,3,3,3,3,3,3,2,3,11
3,2,3,3,2,3,3,3,3,3,3,3,3,3,12
3,3,3,3,4,4,4,4,3,4,4,3,3,2,12
4,4,4,4,4,4,1,4,4,4,4,4,2,2,12
3,3,4,4,4,4,4,4,4,4,4,3,1,1,9
2,3,2,4,4,4,4,4,4,4,4,4,2,2,12
3,3,3,3,3,3,3,3,3,3,3,4,2,1,10
2,2,2,3,3,3,3,3,3,3,3,3,3,2,11
4,4,3,4,4,4,4,4,4,3,3,3,2,1,9
4,3,3,3,4,4,3,4,4,3,4,4,2,2,12
2,2,2,3,3,3,4,3,3,3,3,4,3,2,12
3,3,3,4,4,4,4,4,4,4,4,4,3,2,13
2,2,3,4,4,4,4,4,4,4,4,3,1,1,9
3,3,3,3,3,4,4,4,4,3,4,3,2,2,11
4,4,3,4,4,4,4,3,4,4,4,3,1,1,9
3,3,3,3,3,3,3,3,3,3,3,3,2,2,10
3,3,3,4,3,4,3,4,4,3,3,3,3,2,11
3,3,3,3,3,3,3,4,3,3,3,3,2,2,10
4,4,2,4,1,3,3,4,3,3,4,3,1,1,9
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16
2,2,3,4,3,4,4,4,3,3,3,3,2,2,10
3,3,3,3,3,3,3,3,2,2,2,2,1,1,6
4,4,4,3,4,4,2,3,3,3,4,3,1,1,9
3,3,3,3,3,3,2,3,3,3,3,3,3,2,11
2,2,3,3,3,3,3,3,3,3,3,2,2,2,9
3,2,2,2,3,3,2,3,3,3,3,3,3,3,12
4,4,4,3,3,4,4,4,4,4,4,3,2,2,11
4,4,3,4,3,3,3,4,4,4,4,4,4,4,16
4,4,3,3,4,3,4,4,4,4,4,4,2,1,11
2,2,3,4,4,3,4,3,3,3,3,3,3,3,12
2,2,2,3,3,3,3,4,3,3,4,3,2,2,11
3,2,2,3,2,3,3,3,3,3,3,3,3,3,12
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16
1,1,3,3,3,3,3,3,3,3,3,3,1,1,8