Case ID,CM,DTA,KP,KPT,NB
1,-1.616,0.153,1.193,-1.011,-0.623
2,-0.532,1.147,1.193,-1.011,1.138
3,1.214,1.147,1.193,-1.011,1.138
4,-0.201,-0.779,-0.493,-0.486,-0.623
5;0,347;-0,891;-0,949;-0,313;-1,537
6;1,214;1,147;0,407;-0,486;1,138
7;-0,641;-0,779;-0,949;0,039;-0,623
8;1,214;0,735;1,193;-0,486;-0,145
9;1,214;1,147;1,193;0,737;1,138
10;0,239;0,740;-0,079;1,262;0,703
11;1,214;1,147;1,193;-0,486;1,138
12;-0,201;0,153;-0,949;-1,011;-0,623
13;0,239;-0,661;1,193;0,212;-1,519
14;-1,068;0,623;-0,493;-1,184;0,315
15;-1,081;-0,785;-1,861;0,212;-1,084
16;-0,201;-0,779;-0,949;0,737;-0,623
17;-1,068;0,216;1,193;1,435;-0,623
18;-1,616;0,210;-0,949;0,039;-2,385
19;-0,749;-2,181;-1,405;0,737;-2,385
20;0,666;-0,779;-0,949;0,737;-0,623
21;-0,201;-1,186;-0,949;-1,184;-0,623
22;-1,068;-1,599;-0,493;-0,486;-0,623
23;-1,068;1,147;0,820;0,564;1,138
24;-0,749;-0,779;-0,493;0,039;-0,145
25;-0,201;-0,779;-0,949;0,039;-0,623
26;0,787;0,740;-0,037;0,039;1,138
27;1,214;1,147;1,193;-1,184;1,138
28;-1,068;1,147;1,193;-0,486;-0,623
29;1,214;1,147;1,193;-1,011;1,138
30;0,347;1,147;1,193;-1,184;1,138
31;1,214;-0,372;1,193;0,737;-0,623
32;-0,201;-0,779;-0,949;0,737;-0,623
33;-0,201;1,147;1,193;0,039;1,138
34;0,347;1,147;1,193;-0,313;-0,623
35;0,666;-0,079;-0,049;-1,011;1,138
36;-0,201;-0,773;0,323;0,737;-0,623
37;-1,068;-0,254;1,193;-0,486;-0,508
38;-0,201;-0,779;-0,949;0,737;-0,623
39;0,666;-0,779;-1,848;-1,184;0,678
40;-0,201;-0,779;-0,949;-0,486;-0,623
41;-0,749;1,147;-1,735;-1,709;-0,145
42;1,214;-0,779;-0,049;-0,486;-0,623
43;-1,616;-0,779;-0,949;0,737;-0,623
44;-1,616;-2,705;-0,949;0,737;-0,623
45;0,347;0,735;0,820;0,564;-0,623
46;-1,068;-0,779;-0,949;-0,486;-0,623
47;1,214;1,147;1,193;-0,135;1,138
48;-0,201;-0,779;-0,949;0,737;-0,623
49;1,214;0,740;0,407;-0,659;1,138
50;1,214;1,147;0,377;0,564;1,138
51;-1,176;-0,779;-0,949;-1,709;-0,623
52;-0,201;-0,779;-0,949;0,039;-0,623
53;1,214;1,147;1,193;1,960;1,138
54;-1,068;-0,779;-0,949;-0,486;-0,623
55;1,214;-0,779;-0,505;1,960;-1,907
56;-1,616;-1,192;-1,321;0,737;-0,623
57;0,666;0,328;1,193;1,262;-0,623
58;1,214;1,147;1,193;-0,659;1,138
59;0,347;1,147;0,780;0,737;1,138
60;-0,641;-0,779;1,193;-0,486;-0,623
61;0,347;1,147;-0,049;-1,709;-0,145
62;1,214;1,147;-0,493;0,039;1,138
63;-0,628;-0,372;1,193;1,960;1,138
64;1,214;1,147;-0,079;-1,184;1,138
65;0,347;1,147;1,193;-1,709;0,750
66;0,226;0,623;0,364;1,435;0,243
67;-0,201;-0,779;-0,505;-0,486;-0,623
68;-0,201;1,147;0,407;-1,184;1,138
69;0,774;1,147;0,820;0,039;0,750
70;-0,201;-1,599;-0,949;0,039;-1,907
71;1,214;1,147;1,193;-1,709;1,138
72;-0,322;-0,779;-0,037;1,960;-2,385
73;1,214;0,740;-0,493;-1,011;-0,623
74;-0,201;-0,779;-0,132;0,737;-0,188
75;-1,189;-1,481;1,193;0,737;-1,084
76;1,214;1,147;1,193;-0,486;1,138
77;-1,176;-0,779;-0,505;-1,184;0,750
78;1,214;0,328;0,820;-1,709;1,138
79;-1,616;-0,891;0,075;-1,709;1,138
80;-0,749;-0,372;-0,949;-0,659;1,138
81;-1,297;0,158;-0,949;-1,011;0,750
82;0,666;-0,254;-0,949;-0,486;-0,623
83;1,214;0,158;0,820;0,039;-0,163
84;-0,520;1,147;-0,505;1,960;1,138
85;1,214;1,147;0,336;1,435;1,138
86;1,214;0,740;0,780;-0,659;1,138
87;-3,031;-0,197;1,193;-0,486;-0,145
88;-0,201;0,158;0,820;0,039;-0,145
89;-0,201;0,740;1,193;-0,486;0,660
90;1,214;-0,254;-0,049;0,039;-1,537
91;-1,068;-0,779;-0,949;0,212;-0,623
92;-0,201;-0,779;-0,949;0,039;-0,623
93;1,214;1,147;1,193;0,039;1,138
94;-0,201;-0,779;1,193;0,039;1,138
95;-0,201;-0,779;-0,949;0,737;-0,623
96;-1,164;-0,667;-0,523;-1,184;1,138
97;1,214;0,153;-0,132;1,960;-0,623
98;0,666;0,735;-0,493;0,039;-0,623
99;-0,322;-0,366;0,323;-0,486;1,138
100;-1,616;0,735;0,820;0,039;1,138
101;1,214;0,216;-0,949;-1,184;0,750
102;-0,641;-1,074;-0,505;0,737;-0,623
103;0,666;0,565;0,749;1,960;1,138
104;-1,616;0,735;-0,007;-0,486;1,138
105;-0,201;0,210;-0,949;-1,709;1,138
106;-1,616;-2,069;-1,002;1,435;0,200
107;-2,591;-0,366;-3,947;1,960;-0,623
108;-1,176;0,210;-1,417;-0,486;-1,907
109;1,214;1,147;1,193;-1,709;1,138
110;-2,164;-0,366;-0,949;-1,184;0,315
111;-1,176;-0,779;-0,949;0,039;-1,059
112;1,214;1,147;0,820;-1,184;1,138
113;1,214;1,147;1,193;0,910;0,200
114;0,347;1,147;0,364;-1,184;1,138
115;-0,201;0,328;1,193;0,039;-1,040
116;1,214;1,147;1,193;-0,486;1,138
117;0,239;0,735;-0,505;1,435;0,200
118;-0,749;-1,599;-0,949;-0,486;0,315
119;0,347;1,147;-1,735;-1,184;1,138
120;1,214;1,147;1,193;-1,709;1,138
121;0,666;0,623;1,193;-1,184;-0,508
122;-0,201;-1,192;-0,949;0,039;-0,623
123;1,214;1,147;1,193;0,737;-0,623
124;1,214;1,147;-0,037;-1,011;-1,011
125;1,214;-0,779;0,737;-0,486;-0,623
126;1,214;1,147;-0,049;-0,486;0,315
127;-0,201;-0,610;-0,037;-0,486;1,138
128;-0,201;-0,779;-0,949;0,737;-0,623
129;-0,201;-0,779;-0,949;0,039;-1,011
130;1,214;1,147;1,193;0,737;1,138
131;1,214;1,147;0,034;-1,709;1,138
132;1,214;1,147;0,820;0,212;1,138
133;-1,616;-2,011;-0,493;0,039;-1,907
134;0,239;1,147;1,193;-1,184;1,138
135;-1,068;-1,192;-0,037;0,039;-0,623
136;-0,430;0,322;-0,049;0,564;1,138
137;1,214;-1,192;-0,949;0,564;-1,907
138;-0,201;-0,779;-0,949;0,737;-0,623
139;-0,201;1,147;1,193;-1,709;1,138
140;-2,056;0,740;0,294;0,039;0,703
141;1,214;1,147;1,193;-0,486;1,138
142;-0,201;-0,779;-0,505;0,737;-0,623
143;-0,201;1,147;0,377;-0,486;-0,623
144;1,214;-1,192;-0,079;-0,486;0,315
145;-0,201;-0,079;-0,949;0,039;1,138
146;0,666;-0,661;-0,949;0,212;-0,623
147;0,787;0,328;1,193;-0,313;-0,026
148;-0,201;-0,779;-0,949;-0,486;-0,623
149;-0,641;0,210;-0,949;0,737;-0,623
150;-0,201;-0,366;-0,949;-0,486;-0,623
151;-0,201;1,147;1,193;-0,486;-0,145
152;0,334;1,147;0,407;0,039;-0,167
153;-1,724;1,147;0,780;0,212;-0,623
154;0,787;0,153;-0,493;-1,011;1,138
155;-3,031;1,147;-0,138;-0,135;-4,147
156;1,214;0,623;1,193;-0,486;0,660
157;0,239;-0,366;-0,120;1,435;-0,623
158;1,214;1,147;1,193;0,039;1,138
159;0,226;0,328;-0,493;-0,486;-0,188
160;-0,749;-0,779;-0,949;0,039;-0,623
161;-0,201;-0,779;-0,949;0,212;-0,623
162;-0,430;-3,118;-3,877;1,960;-1,562
163;0,666;1,147;0,377;1,262;-1,084
164;1,214;1,147;1,193;1,960;1,138
165;0,347;-0,254;-0,079;1,960;0,660
166;-0,628;-1,192;-0,949;-0,486;-0,145
167;-0,201;0,210;-0,576;0,737;-0,163
168;-0,201;-0,372;-0,949;0,737;-0,623
169;0,666;0,216;-0,949;0,737;0,272
170;1,214;1,147;1,193;-1,184;1,138
171;-0,201;-0,779;-0,949;-0,486;0,362
172;1,214;0,333;1,193;1,960;-1,059
173;-0,201;0,216;-0,049;0,737;1,138
174;0,666;1,147;-0,037;1,960;0,703
175;0,774;1,147;1,193;1,435;1,138
176;-0,201;-0,779;-0,037;-1,184;-0,623
177;-0,520;1,147;1,193;-1,709;1,138
178;-2,043;0,216;-0,422;-0,486;1,138
179;-0,201;-0,779;-0,949;0,737;-0,623
180;-0,641;-0,779;-0,049;0,212;-1,907
181;-1,935;-1,186;-0,949;1,960;-1,907
182;-1,603;-1,593;-1,362;1,262;0,315
183;1,214;1,147;1,193;-0,486;0,750
184;1,214;1,147;1,193;-1,709;1,138
185;0,239;-0,197;0,820;0,039;-0,623
186;-0,201;1,147;-0,949;0,737;1,138
187;-1,068;1,147;1,193;-0,486;1,138
188;1,214;1,147;1,193;-1,011;1,138
189;-0,309;0,041;0,407;1,435;-0,145
190;-0,201;-0,779;-0,949;0,737;-0,623
191;0,118;-0,604;0,820;-1,011;-1,011
192;0,666;1,147;1,193;1,960;1,138
193;1,214;1,147;1,193;-0,486;1,138
194;1,214;1,147;0,281;0,564;1,138
195;1,214;-0,197;0,780;-0,486;-0,623
196;-0,430;0,735;-0,589;-1,011;0,362
197;1,214;1,147;1,193;-0,486;0,290
198;0,226;0,098;-0,079;-1,184;0,315
199;-0,201;1,147;1,193;1,960;1,138
200;1,214;-0,366;0,323;0,737;1,138
201;0,666;1,147;0,780;-1,011;1,138
202;1,214;-0,197;-0,037;0,039;-0,145
203;0,239;-0,779;-0,049;0,564;-1,084
204;-0,201;1,147;0,281;1,435;0,703
205;0,334;1,147;1,193;0,564;1,138
206;-0,201;1,147;1,193;0,737;1,138
207;-0,201;-0,667;-0,037;-0,486;-0,188
208;1,214;1,147;1,193;-0,659;1,138
209;-0,641;-1,361;-0,493;0,039;-0,623
210;1,214;1,147;1,193;-0,486;1,138
211;1,214;1,147;0,407;1,960;0,200
212;-0,080;-0,667;-1,848;0,564;-1,447
213;-1,068;-0,779;-0,949;0,737;-0,623
214;0,347;1,147;0,820;0,737;0,660
215;0,239;0,565;-0,132;1,435;0,200
216;1,214;1,147;1,193;-1,709;1,138
217;-0,201;-0,779;-0,949;0,039;-0,623
218;-0,641;-1,192;-1,392;0,737;-0,623
219;0,666;-1,074;-1,321;1,960;-0,145
220;-1,176;-1,186;-1,321;0,737;-0,623
221;1,214;1,147;0,820;-1,709;1,138
222;-0,201;-0,779;-0,949;-0,486;-0,623
223;0,666;-1,074;-0,037;-0,486;1,138
224;-1,616;-0,779;-0,949;0,212;-0,623
225;-0,201;-1,599;0,780;1,262;-0,623
226;1,214;1,147;0,820;-1,184;1,138
227;-1,189;0,210;1,193;1,435;-0,623
228;-0,201;-1,599;-0,949;0,039;-1,472
229;-2,056;1,147;0,820;0,737;-0,623
230;-3,031;1,147;-0,949;-0,486;1,138
231;-1,068;1,147;0,749;-1,709;1,138
232;-0,201;-0,779;-0,949;-0,486;-0,145
233;1,214;-0,091;1,193;1,262;1,138
234;-1,189;-0,779;-0,949;0,737;-0,623
235;0,774;1,147;1,193;1,262;1,138
236;-0,201;0,735;0,820;0,737;-0,145
237;0,226;-1,192;-0,949;1,262;-0,623
238;-0,201;-1,599;-0,949;-0,486;-0,623
239;-0,201;-0,779;-0,120;-0,486;-0,623
240;-0,201;-2,181;-0,493;0,212;-0,623
241;-0,641;-1,192;-0,949;0,737;-2,385
242;-2,056;0,740;0,336;-0,486;1,138
243;0,774;0,735;0,737;1,262;0,315
244;1,214;1,147;1,193;0,039;-0,623
245;1,214;1,147;1,193;0,737;1,138
246;-0,960;0,740;1,193;-0,659;-1,084
247;1,214;1,147;1,193;1,960;1,138
248;-0,093;-0,366;-2,261;0,564;1,138
249;-0,628;-0,779;-0,949;-0,486;0,200
250;-1,068;-1,599;-0,949;0,212;-0,623
251;0,226;-0,197;1,193;0,039;-0,623
252;-0,641;-0,779;-0,949;0,737;1,138
253;-1,629;-1,599;-0,949;1,435;-2,385
254;-0,641;-0,779;-0,949;1,262;-0,623
255;1,214;0,216;1,193;-1,011;-1,907
256;0,774;-0,372;-0,049;-0,486;-1,059
257;0,239;-0,779;-0,949;-0,486;-0,623
258;-0,201;1,147;1,193;0,737;-0,145
259;-1,629;-1,192;1,193;0,385;-0,623
260;-0,201;1,147;1,193;-1,184;1,138
261;0,360;0,623;1,193;0,039;0,750
262;-0,762;-0,779;-0,533;-0,486;-1,011
263;1,214;-0,905;-0,949;-1,184;-0,235
264;0,226;-0,429;0,749;1,960;1,138
265;-0,201;-1,186;-1,405;1,262;-0,623
266;0,666;-0,779;-0,037;0,737;-0,623
267;-3,031;-1,599;-0,949;0,737;-2,385
268;0,787;0,216;-2,262;0,737;0,660
269;0,347;-0,366;-0,505;0,737;-0,623
270;1,214;1,147;1,193;1,960;1,138
271;1,214;1,147;1,193;0,039;1,138
272;1,214;-0,779;-0,120;0,737;1,138
273;0,347;0,328;0,820;-0,486;-0,145
274;-0,201;-0,610;0,407;-0,486;-0,145
275;1,214;1,147;1,193;1,960;1,138
276;-2,483;-1,599;-0,937;0,737;-2,385
277;0,239;1,147;-0,037;-1,709;-1,011
278;-0,201;-0,779;1,193;-1,184;-0,623
279;-0,201;-1,599;-0,493;0,564;-1,562
280;-0,201;-2,235;-0,949;0,737;-1,544
281;1,214;1,147;-1,860;0,212;1,138
282;-0,201;-0,779;-0,949;0,737;-0,623
283;-0,641;-0,779;-0,949;-0,486;-0,623
284;1,214;0,216;0,293;1,960;0,703
285;1,214;1,147;1,193;-1,709;-0,623
286;0,666;0,210;0,820;-1,184;1,138
287;1,214;-0,366;-0,120;-1,184;0,750
288;-0,201;-0,779;-0,949;-0,486;-0,623
289;1,214;0,623;-0,493;-0,486;0,272
290;-1,068;-1,361;-0,949;0,737;-1,084
291;-1,189;-1,774;-1,778;0,039;-2,385
292;0,239;-0,366;-0,493;0,039;-0,623
293;1,214;1,147;1,193;-1,709;1,138
294;1,214;1,147;1,193;-1,709;1,138
295;-0,201;0,328;1,193;1,262;1,138
296;-1,068;-0,779;-0,949;0,039;-1,059
297;0,666;-1,186;-0,949;-0,486;0,225
298;1,214;0,565;-0,493;-1,709;1,138
299;-1,068;-0,779;-0,949;0,737;-0,623
300;-1,616;-2,293;-1,861;-0,486;-2,845
301;-0,628;-0,197;-0,493;0,212;0,750
302;0,666;-0,661;0,365;-1,011;1,138
303;1,214;1,147;1,193;-1,709;1,138
304;1,214;0,623;1,193;-0,486;0,362
305;0,347;1,147;-0,162;1,435;0,315
306;-0,201;-1,186;-1,321;-0,486;-0,623
307;1,214;1,147;1,193;0,039;1,138
308;0,774;0,216;0,780;-1,709;1,138
309;0,226;-1,599;1,193;0,737;-0,598
310;1,214;1,147;1,193;0,039;-0,623
311;1,214;-0,779;-0,493;1,960;-0,188
312;1,214;1,147;0,737;0,737;0,315
313;-1,068;-1,599;-0,949;0,737;-0,623
314;-0,641;0,153;-0,949;0,737;-0,145
315;-0,201;-0,197;-0,576;0,039;0,200
316;-0,201;-0,779;-2,178;0,564;-1,997
317;1,214;0,735;1,193;0,737;-0,623
318;0,774;1,147;-0,037;-0,486;-0,623
319;-0,201;-0,779;-0,949;0,737;-0,623
320;1,214;1,147;1,193;-0,486;1,138
321;-1,068;1,147;1,193;-0,486;1,138
322;1,214;0,158;-0,949;1,262;-0,623
323;0,239;-0,779;1,193;-0,486;-0,623
324;-0,520;1,147;1,193;0,564;1,138
325;-0,201;-0,254;-0,949;0,039;-1,011
326;1,214;1,147;0,780;1,960;0,703
327;-1,616;-0,254;-0,493;-0,135;1,138
328;-0,201;-0,779;-0,949;-0,486;-0,623
329;0,666;0,328;-0,949;0,039;1,138
330;1,214;1,147;1,193;1,960;1,138
331;-0,309;0,735;1,193;0,564;1,138
332;-1,068;-0,779;-0,949;0,039;-0,145
333;-1,616;-1,192;-0,979;1,960;-1,907
334;0,239;-0,079;-0,493;-0,486;-0,623
335;-0,201;-1,192;-0,949;-0,486;-1,059
336;-1,068;-0,372;0,407;1,960;-2,385
337;-0,201;-0,779;-0,493;0,737;-0,623
338;-0,520;1,147;1,193;-0,486;1,138
339;-1,189;0,740;-0,493;0,039;0,315
340;-1,616;-0,779;1,193;0,039;-0,623
341;-0,201;-0,779;-0,505;0,737;-0,145
342;1,214;1,147;1,193;0,039;0,315
343;1,214;1,147;1,193;1,262;1,138
344;1,214;-1,711;-0,949;-1,184;-1,399
345;-1,616;-1,192;-0,949;0,039;-0,623
346;-0,201;-1,192;-0,493;0,737;0,315
347;-0,641;-0,254;-0,949;1,262;-1,084
348;-0,749;-0,254;-0,949;1,262;-0,623
349;0,787;1,147;0,365;0,039;0,750
350;-1,068;1,147;0,377;-0,486;0,750
351;0,666;-0,366;-0,079;0,039;1,138
352;1,214;1,147;1,193;-0,486;1,138
353;-0,201;-0,779;-0,949;0,039;-0,623
354;-1,176;1,147;1,193;-0,659;1,138
355;-0,628;-0,779;-0,505;0,212;-0,623
356;0,774;1,147;1,193;-1,709;1,138
357;-1,935;-1,599;-1,362;-1,011;-1,011
358;-1,068;-0,779;-0,949;-1,184;-0,623
359;-2,483;-1,716;-0,949;0,737;-1,907
360;-0,201;-0,779;-0,949;-0,486;-0,623
361;-1,189;0,740;0,323;0,737;0,660
362;1,214;0,735;1,193;0,212;1,138
363;1,214;0,735;0,780;0,737;0,290
364;-1,189;-0,779;-0,037;0,737;-1,011
365;-0,201;0,735;-0,949;-0,486;1,138
366;-1,189;-1,774;-1,778;0,039;-2,385
367;-0,641;-0,779;1,193;-1,184;-0,145
368;-1,495;0,740;-0,409;0,039;1,138
369;1,214;0,328;0,820;-1,709;1,138
370;1,214;0,740;1,193;-0,486;1,138
371;-1,616;1,147;1,193;-0,486;1,138
372;0,347;1,147;-0,949;-0,486;0,750
373;-0,201;-0,366;-0,949;0,737;-0,167
374;1,214;1,147;-0,949;-1,709;0,750
375;-1,068;-0,366;-0,949;0,737;-0,623
376;1,214;0,623;1,193;-0,486;1,138
377;-0,188;-0,249;1,193;0,385;-0,642
378;-0,201;0,623;-0,949;0,039;-0,145
379;-0,201;0,623;1,193;-1,709;1,138
380;-1,616;-2,060;1,193;1,262;-2,385
381;-0,201;0,216;0,407;-0,486;-0,623
382;0,666;-0,779;0,820;-0,486;-0,623
383;-0,201;-0,779;-0,949;-0,486;-0,623
384;-0,201;-1,599;-0,949;0,737;-0,623
385;1,214;0,623;-0,493;-0,486;-0,623
386;-0,201;-0,779;-0,949;0,039;-1,997
387;-0,093;1,147;1,193;0,039;1,138
388;-0,201;-0,779;-0,493;-0,486;-0,623
389;1,214;0,735;1,193;0,737;-0,623
390;-0,201;-0,779;-0,949;0,039;-0,623
391;-0,201;-1,304;-0,949;-0,486;-0,623
392;-2,043;1,147;1,193;1,262;1,138
393;-0,201;-2,181;-1,652;1,435;-2,385
394;-1,068;-0,779;-1,362;0,737;-0,623
395;1,214;1,147;1,193;-1,709;1,138
396;-0,201;-0,779;-0,535;0,039;-0,623
397;0,787;1,147;0,377;1,960;0,703
398;0,787;1,147;-1,723;-1,709;0,750
399;-1,068;-1,186;-0,949;0,212;-0,623
400;-0,201;-0,779;-0,949;-0,486;-0,623
401;-1,068;0,328;0,365;0,737;-0,623
402;1,214;0,328;1,193;1,960;1,138
403;-0,201;-1,186;-0,949;-0,486;-0,623
404;1,214;1,147;0,377;1,262;0,290
405;1,214;0,041;1,193;1,262;0,660
406;-1,068;-0,779;-0,949;0,737;-0,623
407;-0,201;-1,192;0,820;-1,184;-0,623
408;-0,641;0,623;-0,049;-1,184;0,243
409;0,666;1,147;1,193;0,737;-0,623
410;0,666;-1,186;-0,949;1,262;-0,623
411;1,214;0,216;1,193;-1,709;0,703
412;-0,201;-0,254;-0,037;0,737;1,138
413;-0,214;-2,123;-0,949;0,039;-0,623
414;-1,616;-0,254;-0,493;-1,184;-0,623
415;0,787;0,623;-0,949;-0,486;1,138
416;-0,201;-0,779;-0,949;0,039;-0,623
417;1,214;1,147;1,193;1,262;0,678
418;0,787;1,147;0,820;-1,011;1,138
419;-0,749;-0,954;-1,392;0,737;-0,623
420;1,214;1,147;1,193;-0,486;1,138
421;-1,068;0,210;-1,778;-0,486;-0,623
422;1,214;0,328;-0,037;0,737;-0,623
423;-1,616;-0,779;-0,949;0,737;-0,623
424;-0,737;-0,779;-0,949;0,737;-0,145
425;-0,201;-0,779;-0,505;0,564;-1,011
426;0,347;-0,779;-0,037;-1,184;-0,968
427;-0,749;-0,197;-0,505;-0,486;-0,163
428;-0,201;-1,186;-0,949;-0,486;-0,623
429;-0,201;1,147;1,193;-1,184;1,138
430;-0,201;0,740;-0,037;-1,709;-0,145
431;1,214;1,147;1,193;-0,486;1,138
432;1,214;1,147;0,780;-1,709;1,138
433;1,214;1,147;1,193;0,039;0,750
434;1,214;1,147;1,193;0,039;-0,145
435;-0,201;-1,186;-0,949;0,737;-0,623
436;-0,201;-0,779;-0,493;-0,486;-0,623
437;-1,068;0,216;0,407;-0,486;1,138
438;-1,068;-1,593;0,364;1,435;0,243
439;-2,164;-2,705;-3,090;-0,486;-2,385
440;1,214;-0,254;-0,493;-0,486;1,138
441;1,214;1,147;1,193;-0,486;1,138
442;1,214;1,147;0,820;-1,709;1,138
443;1,214;1,147;1,193;-1,184;1,138
444;-0,201;-1,192;-1,417;-1,709;-1,472
445;0,347;-0,085;-0,920;0,737;-0,145
446;-0,201;-1,186;-0,949;-0,313;-0,623
447;-0,641;-0,779;-0,949;0,039;-0,623
448;0,239;0,623;0,324;-0,486;-0,623
449;1,214;1,147;1,193;-0,486;-0,235
450;-0,201;-0,779;-0,949;0,039;-0,623
451;1,214;1,147;0,820;0,212;0,290
452;0,347;1,147;1,193;1,435;1,138
453;0,360;1,147;1,193;-1,709;1,138
454;-1,616;-0,254;-0,949;0,737;-0,623
455;1,214;1,147;1,193;-1,709;1,138
456;1,214;-0,773;0,448;0,737;1,138
457;1,214;1,147;1,193;-1,184;1,138
458;-3,031;-0,492;-3,007;1,960;-2,342
459;-0,201;-0,722;1,193;0,039;-0,623
460;1,214;1,147;0,281;1,435;-0,235
461;1,214;1,147;1,193;1,960;1,138
462;-0,628;-2,123;-1,362;-0,486;-0,623
463;-0,201;-0,779;-0,949;-0,486;-0,623
464;-0,201;-0,779;-0,493;-1,709;1,138
465;1,214;1,147;0,407;-0,486;1,138
466;-1,616;1,147;1,193;-0,486;1,138
467;0,226;1,147;1,193;0,039;-0,145
468;-1,068;-1,599;-0,949;0,039;-1,102
469;-0,749;-2,705;-0,949;0,737;-1,490
470;-1,068;1,147;1,193;0,737;1,138
471;0,118;0,328;1,193;-1,709;1,138
472;-0,093;1,147;1,193;0,737;-1,102
473;0,666;-0,779;-0,949;-0,486;-0,623
474;1,214;1,147;1,193;0,039;1,138
475;0,239;-0,372;-1,777;-0,135;-2,385
476;-0,201;1,147;1,193;-0,486;-0,026
477;-0,201;0,565;0,324;-0,486;0,750
478;-0,201;-0,779;-0,949;-0,486;-0,623
479;1,214;-2,593;-0,949;-0,313;-2,773
480;0,666;0,216;1,193;-1,184;-0,623
481;1,214;1,147;-0,037;-1,709;1,138
482;-1,508;0,735;-0,949;-1,184;1,138
483;0,774;0,735;0,377;0,039;1,138
484;1,214;1,147;1,193;1,960;1,138
485;0,666;0,328;-0,949;0,737;-0,623
486;1,214;0,328;1,193;1,960;1,138
487;-0,201;-1,599;-0,949;0,737;-2,385
488;-0,201;-0,779;-0,493;0,737;-0,623
489;1,214;1,147;1,193;0,039;1,138
490;-1,508;1,147;-0,120;1,960;-0,623
491;1,214;-0,254;-0,535;0,039;-0,623
492;-0,201;0,328;1,193;-0,486;-0,623
493;1,214;0,210;1,193;1,435;0,315
494;0,666;-0,785;-0,493;-0,486;-0,623
495;-0,201;-0,366;0,323;0,039;-0,623
496;-2,056;0,623;0,737;1,960;-1,605
497;0,666;-0,779;1,193;-0,486;-0,145
498;-0,641;-1,192;-0,493;-0,486;-0,576
499;-0,201;-1,599;-0,949;0,737;-1,997
500;-3,031;-3,001;-0,092;1,960;-0,623
501;-0,201;1,147;-0,049;-0,486;0,200
502;1,214;1,147;1,193;0,039;1,138
503;0,334;0,322;1,193;-0,486;1,138
504;1,214;1,147;-0,505;1,960;1,138
505;-0,641;-0,779;-0,949;-0,486;-0,623
506;1,214;1,147;0,407;0,564;1,138
507;1,214;1,147;1,193;0,039;1,138
508;-0,201;-0,254;-0,949;-0,486;-0,623
509;-0,201;1,147;-0,878;0,737;-0,623
510;0,347;1,147;0,377;0,737;-0,623
511;0,774;1,147;-0,037;1,262;1,138
512;-0,641;-0,254;-0,949;-0,486;-1,011
513;-2,164;0,740;0,407;-1,184;1,138
514;-1,176;-0,779;1,193;-0,486;-0,623
515;-1,616;-2,011;-0,949;-1,709;-0,623
516;-0,201;0,041;-0,949;-0,486;-0,623
517;-1,616;-0,254;-0,878;-0,486;-0,623
518;-0,201;1,147;0,407;0,737;-0,623
519;-0,749;-0,197;0,407;-1,011;1,138
520;1,214;0,740;1,193;-0,486;1,138
521;1,214;0,098;1,193;-1,709;1,138
522;-0,201;-0,779;-0,949;-1,709;0,315
523;-0,201;-1,186;-0,949;0,737;-0,623
524;1,214;0,735;1,193;-1,709;1,138
525;-1,616;-0,085;0,820;-0,486;-0,145
526;-0,628;-0,779;-0,493;0,039;-0,623
527;-0,520;0,158;-0,493;1,960;0,218
528;-0,201;0,735;1,193;1,960;1,138
529;-0,201;-1,186;-0,949;0,737;-0,623
530;1,214;0,735;1,193;0,737;1,138
531;-1,068;0,328;-1,735;-1,709;-0,235
532;-0,628;-1,304;-0,949;-1,011;-0,623
533;-0,201;-1,192;-0,049;-1,709;-0,623
534;0,239;-0,779;-0,949;0,212;-0,623
535;-0,628;-1,186;-0,949;0,737;-0,623
536;-0,201;0,623;0,364;0,039;1,138
537;1,214;-0,091;1,193;-0,486;-0,145
538;0,347;1,147;0,820;-1,709;1,138
539;-1,189;1,147;1,193;-0,486;1,138
540;-0,201;-0,779;-0,576;-1,184;-0,145
541;-1,616;-0,779;-0,949;0,039;-0,188
542;0,666;1,147;-0,037;-1,184;1,138
543;0,239;0,210;0,780;-0,486;1,138
544;-1,616;-0,366;-0,576;0,039;-0,605
545;-0,201;1,147;1,193;0,039;1,138
546;-1,068;1,147;0,820;-1,709;1,138
547;-0,201;0,216;0,407;-0,486;1,138
548;0,666;1,147;0,365;-1,709;-0,026
549;-0,201;-0,779;-0,949;-0,486;-0,623
550;-0,201;0,328;-0,037;0,039;0,703
551;-0,201;-0,779;-0,493;-0,486;-0,623
552;0,118;-1,068;-0,049;-1,709;1,138
553;1,214;1,147;1,193;1,960;0,315
554;-1,068;0,740;-0,493;-0,486;-0,145
555;-0,201;-0,779;-2,635;-1,709;-2,385
556;1,214;-0,203;-0,505;-1,709;-0,145
557;-0,201;-1,192;-0,949;0,039;-0,623
558;-1,068;-0,779;-1,321;-0,486;-0,145
559;-1,176;-1,716;-0,949;0,737;-0,623
560;1,214;0,216;0,820;-0,486;-0,235
561;0,666;-0,254;1,193;1,960;1,138
562;0,666;0,041;1,193;-1,184;1,138
563;-1,068;0,565;-0,949;0,737;-0,145
564;-1,616;-0,779;-0,049;-0,486;-0,623
565;-1,176;-1,186;-0,949;0,737;-0,623
566;1,214;1,147;1,193;1,960;1,138
567;-1,935;-0,779;-0,949;-1,709;-0,623
568;1,214;0,735;-0,037;-0,313;1,138
